#,ID/Reference,Sentence,Comments,Classification
1,DNN1 (Tensorflow),"In addition, often in close collaboration with the Google Brain team, more than 50 teams at Google and other Alphabet companies have deployed deep neural networks using DistBelief in a wide variety of products, including Google Search [11], our advertising products, our speech recognition systems [50, 6, 46], Google Photos [43], Google Maps and StreetView [19], Google Translate [18], YouTube, and many others.",The need for a scalable system for deploying deep neural networks across a wide range of applications at Google,Key Motivating Factors
2,DNN1 (Tensorflow),"A computation expressed using TensorFlow can be executed with little or no change on a wide variety of heterogeneous systems, ranging from mobile devices such as phones and tablets up to large-scale distributed systems of hundreds of machines and thousands of computational devices such as GPU cards","Emphasizes the portability and adaptability of the TensorFlow framework, highlighting the importance of a system that can handle different hardware setups. ",Critical Factors and Guidelines
3,DNN1 (Tensorflow),"In addition, often in close collaboration with the Google Brain team, more than 50 teams at Google and other Alphabet companies have deployed deep neural networks using DistBelief in a wide variety of products, including Google Search [11], our advertising products, our speech recognition systems [50, 6, 46], Google Photos [43], Google Maps and StreetView [19], Google Translate [18], YouTube, and many others.","Talks about the deployment of deep neural networks using TensorFlow's predecessor, DistBelief, across a diverse range of Google products. This highlights the practical relevance and scalability of the underlying distributed system.",Practical Evaluation Scenarios
4,DNN1 (Tensorflow),"Once a system has multiple devices, there are two main complications: deciding which device to place the computation for each node in the graph, and then managing the required communication of data across device boundaries implied by these placement decisions. (...) A future version of this white paper will have a comprehensive performance evaluation section of both the single machine and distributed implementations.",The need for an algorithm for mapping computations to devices and managing communication. These were ongoing limitations at the time the paper was written.,Tool Limitations and Challenges
5,DNN2 (MXNet),"The scale and complexity of machine learning (ML) algorithms are becoming increasingly large. Almost all recent ImageNet challenge [12] winners employ neural networks with very deep layers, requiring billions of floating-point operations to process one single sample. The rise of structural and computational complexity poses interesting challenges to ML system design and implementation.","The system aims to bridge the gap between imperative and declarative programming, allowing the user to express computations in a variety of styles.",Key Motivating Factors
6,DNN2 (MXNet),"Most ML systems embed a domain-specific language (DSL) into a host language (e.g. Python, Lua, C++). Possible programming paradigms range from imperative, where the user specifies exactly “how” computation needs to be performed, and declarative, where the user specification focuses on “what” to be done.","A critical factor is the support for both imperative and declarative programming styles, which allows users to choose the most suitable approach for their needs",Critical Factors and Guidelines
7,DNN2 (MXNet),not applicable,,Practical Evaluation Scenarios
8,DNN2 (MXNet),"Most ML systems embed a domain-specific language (DSL) into a host language (e.g. Python, Lua, C++).  (...)  Comparing to other open-source ML systems, MXNet provides a superset programming interface to Torch7, Theano, Chainer and Caffe, and supports more systems such as GPU clusters.","Offers a flexible programming model. MXNet blends imperative and declarative approaches, providing efficient memory allocation and targeting heterogeneous systems. MXNet distinguishes itself through its support for multiple host languages and its ability to fuse execution across different programming paradigms to the same backend",Tool Limitations and Challenges
9,DNN3 (GPipe),"We scale the architecture along two dimensions to stress the flexibility of GPipe: (i) along the depth by increasing the number of layers in the model and (ii) along the width by increasing the hidden dimension in the feed-forward layers and the number of attention heads (...) We notice that increasing the model capacity, from 400M params (T (6, 8192, 16)) to 1.3B (T (24, 8192, 16)), and further, to 6B (T (64, 16384, 32)), leads to significant quality improvements across all languages.","The desire to push the boundaries of model size in order to improve accuracy, showing a trend towards larger models with greater capabilities.",Key Motivating Factors
10,DNN3 (GPipe),"In many cases, increasing model capacity beyond the memory limit of a single accelerator has required developing special algorithms or infrastructure. These solutions are often architecture-specific and do not transfer to other tasks. To address the need for efficient and task-independent model parallelism, we introduce GPipe, a pipeline parallelism library that allows scaling any network that can be expressed as a sequence of layers.","The necessity for efficient model parallelism to overcome memory limitations when training large models, and seeks to provide an approach that is not specific to a single architecture or task.",Critical Factors and Guidelines
